,City Name,Country,Latitude,Longitude,Maximum Temperature (d/c),Humidity (%),Cloudiness (%),Wind Speed (km/h),Date
119,Saint-Augustin,CA,51.226,-58.6502,2.45,55,97,6.08,1651841164
120,Katsuura,JP,35.1333,140.3,17.61,85,100,2.39,1651841164
121,Dingle,PH,10.9995,122.6711,27.03,75,89,3.11,1651841164
122,Port Alfred,ZA,-33.5906,26.891,21.77,82,0,2.68,1651841165
123,Bluff,NZ,-46.6,168.3333,10.45,89,100,2.32,1651841165
124,Marabu,MY,4.4148,114.0089,28.08,94,40,2.06,1651841165
125,La Santisima Trinidad,BO,-14.8333,-64.9,18.99,72,0,2.57,1651841166
126,Dauriya,RU,49.9333,116.8667,4.74,22,0,2.77,1651841166
127,Ulladulla,AU,-35.35,150.4667,10.5,57,0,4.4,1651841166
128,Manavgat,TR,36.7867,31.4431,23.07,32,4,9.48,1651841167
129,Shingū,JP,33.7333,135.9833,15.45,91,82,3.35,1651841167
130,Auki,SB,-8.7676,160.7034,25.85,86,3,1.79,1651841167
131,Codrington,AU,-38.2667,141.9667,10.81,76,100,6.48,1651841168
132,Salamiyah,SY,35.0113,37.0532,20.04,27,43,11.03,1651841168
133,Lüderitz,NA,-26.6481,15.1594,19.12,66,0,9.77,1651841168
134,Gori,GE,41.9842,44.1158,14.8,68,95,5.13,1651841174
135,Dzheguta,RU,43.9671,42.0426,4.5,97,100,2.83,1651841175
136,Kiryat Gat,IL,31.61,34.7642,22.66,41,0,7.78,1651841175
137,Nikolskoye,RU,59.7035,30.7861,15.94,57,98,2.9,1651841176
138,Vestmanna,FO,62.1564,-7.1664,7.51,71,40,10.8,1651841176
139,Geraldton,AU,-28.7667,114.6,18.23,39,0,5.14,1651841177
140,Coffs Harbour,AU,-30.3,153.1333,17.3,88,73,3.09,1651841177
141,Karratha,AU,-20.7377,116.8463,26.93,33,0,5.6,1651841178
142,Eydhafushi,MV,5.1033,73.0708,29.11,75,100,6.15,1651841178
143,Cody,US,44.5263,-109.0565,12.12,49,40,3.6,1651841178
144,Wawa,NG,9.9022,4.4192,33.05,46,100,3.81,1651841179
145,Ryōtsu-minato,JP,38.0833,138.4333,15.86,60,0,1.78,1651840968
146,Sungai Raya,ID,0.7,108.9,27.39,82,99,2.11,1651841179
147,Hobart,AU,-42.8794,147.3294,10.92,81,75,3.09,1651840875
148,Matagami,CA,49.7502,-77.6328,-3.94,80,100,2.06,1651841179
149,Nevers,FR,46.9896,3.159,20.84,46,0,5.14,1651841180
150,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,93,100,5.66,1651841180
151,Kavieng,PG,-2.5744,150.7967,28.48,76,100,6.86,1651841180
152,East London,ZA,-33.0153,27.9116,22.52,78,0,5.14,1651841181
153,Zaragoza,ES,41.6561,-0.8773,21.36,38,20,10.8,1651841181
154,Carman,CA,49.4992,-98.0016,8.27,93,100,2.57,1651841181
155,Merauke,ID,-8.4667,140.3333,26.48,84,29,5.31,1651840991
156,Nouadhibou,MR,20.931,-17.0347,28.99,30,0,6.17,1651841182
157,‘Āhuimanu,US,21.4447,-157.8378,23.84,81,75,7.72,1651841182
158,Clarence Town,AU,-32.5833,151.7833,13.64,66,0,1.99,1651841183
159,Broken Hill,AU,-31.95,141.4333,9.84,66,7,2.57,1651841183
160,Margate,GB,51.3813,1.3862,21.17,78,63,3.64,1651841183
161,Faya,SA,18.3851,42.4509,26.06,37,13,6.29,1651841184
162,Bar Harbor,US,44.3876,-68.2039,10.85,45,0,1.54,1651841184
163,Provideniya,RU,64.3833,-173.3,-3.17,86,29,1.12,1651841184
164,Eston,CA,51.1501,-108.7514,13.05,57,100,6.53,1651841184
165,Leningradskiy,RU,69.3833,178.4167,-12.12,96,100,2.35,1651841185
166,Sânmartin,RO,46.2667,25.9333,19.7,39,36,3.81,1651841185
167,Lagdo,CM,9.05,13.7333,41.3,20,59,2.03,1651841185
168,Saint Lawrence,MT,36.0553,14.204,19.67,89,0,9.52,1651841186
169,Adrar,MR,20.5022,-10.0711,35.35,10,6,4.27,1651841186
170,Mapiripán,CO,2.8892,-72.1256,23.43,87,100,2.1,1651841186
171,Kieta,PG,-6.2167,155.6333,26.79,81,100,2.22,1651841187
172,Egvekinot,RU,66.3167,-179.1667,-10.73,98,100,0.76,1651841187
173,Salalah,OM,17.0151,54.0924,31.05,74,0,6.69,1651841187
174,Quang Ngai,VN,15.1167,108.8,25.02,94,100,0.63,1651841031
175,Algiers,DZ,36.7525,3.042,18.9,60,40,4.63,1651841188
176,Esperance,AU,-33.8667,121.9,12.91,76,0,6.12,1651841189
177,Isoka,ZM,-10.1606,32.6335,22.41,65,93,2.74,1651841189
178,Ponnāni,IN,10.767,75.9252,28.62,77,37,4.76,1651841195
179,Pasni,PK,25.2631,63.471,27.95,75,0,5.75,1651841195
180,Nenzing,AT,47.1386,9.6744,10.38,86,100,1.79,1651841195
181,Upernavik,GL,72.7868,-56.1549,-10.57,67,53,1.06,1651841196
182,Qingdao,CN,36.0986,120.3719,16.78,88,0,2.0,1651840687
183,Latung,PH,5.5,120.8833,29.05,78,32,3.19,1651841196
184,Airai,TL,-8.9266,125.4092,15.84,95,36,1.44,1651841197
185,Tessalit,ML,20.1986,1.0114,37.92,11,100,2.61,1651841197
186,Guerrero Negro,MX,27.9769,-114.0611,14.11,92,67,3.25,1651841197
187,Khatanga,RU,71.9667,102.5,-7.22,84,100,11.6,1651841198
188,Abu Samrah,SY,35.3029,37.1841,20.4,26,95,9.64,1651841198
189,Moose Factory,CA,51.2585,-80.6094,-3.0,86,100,2.06,1651841198
190,Mayumba,GA,-3.432,10.6554,28.59,76,80,3.11,1651841199
191,Dubbo,AU,-32.25,148.6167,5.07,87,0,1.54,1651841066
192,Alice Springs,AU,-23.7,133.8833,11.75,40,99,3.09,1651840955
193,San Policarpo,PH,12.1791,125.5072,27.39,84,12,4.5,1651841199
194,Riyadh,SA,24.6877,46.7219,39.08,11,86,3.52,1651841153
195,Uttaradit,TH,17.6667,100.5,22.99,90,94,1.65,1651841200
196,San Patricio,US,28.017,-97.5169,27.13,90,22,2.62,1651841200
197,Ponta do Sol,PT,32.6667,-17.1,24.84,65,45,1.79,1651841200
198,Thompson,CA,55.7435,-97.8558,7.09,70,75,2.06,1651841201
199,San Luis,AR,-33.295,-66.3356,17.19,35,100,0.57,1651841201
200,Shambu,ET,9.5667,37.1,25.29,17,76,2.25,1651841201
201,Novikovo,RU,51.1537,37.8879,13.55,40,7,3.05,1651841202
202,Haines Junction,CA,60.7522,-137.5108,-5.03,86,75,0.51,1651841202
203,Castro,BR,-24.7911,-50.0119,15.74,79,39,2.13,1651841202
204,São Paulo do Potengi,BR,-5.895,-35.7628,25.06,63,99,5.75,1651841203
205,Sioux Lookout,CA,50.1001,-91.917,5.04,56,20,3.09,1651841203
206,Sainte-Suzanne,RE,-20.9061,55.6089,27.12,83,75,7.72,1651841204
207,Paka,MY,4.6374,103.4368,28.96,89,100,0.0,1651841116
208,Chunhuhub,MX,19.55,-88.6833,25.89,82,41,2.43,1651841205
209,Yulara,AU,-25.2406,130.9889,13.91,33,0,3.6,1651841205
210,Deer Lake,CA,49.1667,-57.4316,3.92,70,100,1.54,1651841206
211,Puttūr,IN,12.7667,75.2167,29.06,94,100,0.86,1651841206
212,San Vicente,AR,-26.6167,-54.1333,17.14,63,59,0.16,1651841206
213,Pisco,PE,-13.7,-76.2167,16.68,94,3,1.54,1651841207
214,Vanino,RU,49.0869,140.2543,10.85,60,100,5.15,1651841207
215,Bonavista,CA,48.6499,-53.1147,2.33,97,100,9.13,1651841207
216,Lukulu,ZM,-14.3707,23.242,27.43,38,98,1.74,1651841208
217,Mazyr,BY,52.0495,29.2456,16.29,41,100,4.02,1651841173
218,Port Lincoln,AU,-34.7333,135.8667,12.92,56,4,1.79,1651841209
219,Kommunar,RU,59.6206,30.39,15.74,55,99,2.22,1651841209
220,Måløy,NO,61.9353,5.1136,9.85,94,100,10.51,1651841209
221,Yarmouth,US,41.7057,-70.2286,14.44,55,0,1.54,1651841210
222,Narsaq,GL,60.9167,-46.05,9.12,98,100,2.99,1651841210
223,Olinda,BR,-8.0089,-34.8553,27.85,74,40,3.09,1651841215
224,Barra de Tecoanapa,MX,16.5167,-98.75,24.3,71,10,1.26,1651841216
225,Lüshunkou,CN,38.8,121.2667,12.73,90,100,0.81,1651841216
226,Palmer,US,42.1584,-72.3287,14.2,60,100,1.54,1651840957
227,Weligama,LK,5.9667,80.4167,27.28,84,52,4.51,1651841217
228,Ilulissat,GL,69.2167,-51.1,-3.99,39,0,0.51,1651841217
229,Norman Wells,CA,65.282,-126.8329,0.02,80,100,2.06,1651841217
230,Kalabo,ZM,-14.97,22.6814,26.25,43,100,1.39,1651841218
231,Limbang,MY,4.75,115.0,27.81,98,100,1.55,1651841218
232,Hobyo,SO,5.3505,48.5268,30.11,71,99,9.44,1651841218
233,Sovetskoye,RU,52.2861,85.4131,18.58,41,100,1.77,1651841218
234,Boueni,YT,-12.9025,45.0761,30.99,73,13,6.45,1651841219
235,Paris,FR,48.8534,2.3488,22.43,49,40,3.09,1651840951
236,Øksfjord,NO,70.2396,22.3479,7.1,98,100,2.88,1651841220
237,Dakar,SN,14.6937,-17.4441,33.49,61,0,6.17,1651841220
238,Ribeira Grande,PT,38.5167,-28.7,19.22,82,20,9.26,1651841221
239,Vao,NC,-22.6667,167.4833,23.87,72,2,10.66,1651841221
240,La Baule-Escoublac,FR,47.2922,-2.364,19.81,74,75,3.09,1651841222
241,Beloha,MG,-25.1667,45.05,29.66,44,34,4.36,1651841222
242,Lavrentiya,RU,65.5833,-171.0,-14.41,95,100,2.06,1651841222
243,Mahon,ES,39.8885,4.2658,20.31,45,20,11.83,1651841223
244,Kozlovo,RU,56.5167,36.2667,14.43,37,100,4.41,1651841223
245,Vryburg,ZA,-26.9566,24.7284,23.93,22,0,2.14,1651841223
246,Jinchang,CN,38.4953,102.1739,18.43,26,11,6.47,1651841224
247,Russell,US,32.3502,-85.1999,21.78,88,20,5.14,1651841224
248,Marzuq,YE,14.4,46.4667,32.86,16,32,6.39,1651841224
249,Ust'-Ishim,RU,57.6935,71.1665,1.24,87,100,10.12,1651841225
250,Redmond,US,47.674,-122.1215,8.53,89,100,1.51,1651841226
251,Awjilah,LY,29.1081,21.2869,33.73,11,100,5.16,1651841226
252,Barcelos,PT,41.5388,-8.6151,27.18,42,15,2.41,1651841226
253,Atar,MR,20.5169,-13.0499,36.03,20,5,4.12,1651841227
254,Koani,TZ,-6.1333,39.2833,28.79,74,75,5.14,1651841227
255,Ketchikan,US,55.3422,-131.6461,3.99,93,75,1.36,1651841227
256,Vestmannaeyjar,IS,63.4427,-20.2734,5.55,75,40,5.66,1651841228
257,Fairbanks,US,64.8378,-147.7164,3.47,91,100,1.54,1651841228
258,Nome,US,64.5011,-165.4064,-1.96,86,0,0.0,1651841228
259,Tuatapere,NZ,-46.1333,167.6833,12.56,90,100,1.93,1651841229
260,Chokurdakh,RU,70.6333,147.9167,-9.4,97,100,2.51,1651841229
261,Ponta Delgada,PT,37.7333,-25.6667,19.4,77,20,7.2,1651841230
262,Fuerte Olimpo,PY,-21.0415,-57.8738,22.27,56,0,1.21,1651841230
263,Province of Trapani,IT,37.8333,12.6667,17.38,82,75,7.72,1651841230
264,Nālūt,LY,30.3333,10.85,27.42,20,0,8.44,1651841231
265,Puerto Ayora,EC,-0.7393,-90.3518,23.08,89,100,3.34,1651841231
266,Deputatsky,RU,69.3,139.9,-12.31,98,77,1.76,1651841231
267,Rio Grande,BR,-32.035,-52.0986,17.06,76,0,1.54,1651841232
268,Muroto-misakicho,JP,33.2833,134.15,18.45,78,6,5.76,1651840972
269,Clyde River,CA,70.4692,-68.5914,-10.87,79,0,0.0,1651841237
270,Hervey Bay,AU,-25.2986,152.8535,23.12,84,100,2.1,1651841238
271,Saint George,US,37.1041,-113.5841,18.33,30,0,0.45,1651840962
272,Newala,TZ,-10.9431,39.2787,23.99,76,39,0.9,1651841238
273,Obama,JP,35.4958,135.746,18.31,81,0,3.22,1651841239
274,Tucuruí,BR,-3.7661,-49.6725,28.32,74,73,1.76,1651841239
275,Tayu,ID,-6.5397,111.0518,27.28,82,7,2.63,1651841240
276,Gamba,GA,-2.65,10.0,29.69,70,52,3.9,1651841240
277,São João da Barra,BR,-21.6403,-41.0511,23.05,69,65,5.23,1651841240
278,Carnarvon,AU,-24.8667,113.6333,22.04,68,58,4.12,1651841240
279,Kemisē,ET,10.7167,39.8667,31.01,20,8,6.1,1651841241
280,Tual,ID,-5.6667,132.75,29.54,75,100,8.75,1651841241
281,Hatten,DE,53.0167,8.35,21.51,44,55,3.22,1651841242
282,Talnakh,RU,69.4865,88.3972,-4.33,94,100,2.45,1651841243
283,Karaton,ID,-6.3424,106.1045,24.94,91,62,0.64,1651841243
284,Padang,ID,-0.9492,100.3543,26.03,85,100,1.22,1651841007
285,Mmabatho,ZA,-25.85,25.6333,24.98,22,20,2.06,1651841243
286,Anūpgarh,IN,29.1911,73.2086,40.78,9,1,4.67,1651841244
287,High Rock,BS,26.6208,-78.2833,25.01,74,5,3.33,1651841244
288,Anchorage,US,61.2181,-149.9003,7.03,73,100,5.14,1651841245
289,Chenghai,CN,23.4632,116.768,23.95,78,0,3.0,1651841245
290,Albury,AU,-36.0833,146.9167,6.68,96,75,1.79,1651841069
291,Austin,US,30.2672,-97.7431,19.68,94,20,0.89,1651841185
292,Pangnirtung,CA,66.1451,-65.7125,-14.0,85,0,0.0,1651841246
293,Azul,AR,-36.777,-59.8585,12.41,53,0,2.39,1651841246
294,Lorengau,PG,-2.0226,147.2712,27.97,80,70,3.6,1651841246
295,Hillsboro,US,45.5229,-122.9898,10.66,92,100,1.54,1651841247
296,Chiniot,PK,31.72,72.9789,39.06,13,0,2.62,1651841247
297,Kirkuk,IQ,35.4681,44.3922,26.7,16,0,11.08,1651841247
298,Fukuechō,JP,32.6881,128.8419,19.46,88,27,3.96,1651841171
299,Sobolevo,RU,54.4299,31.8996,14.3,46,79,4.69,1651841248
300,Bend,US,44.0582,-121.3153,10.05,77,0,3.09,1651841249
301,Sistranda,NO,63.7256,8.834,11.98,87,100,7.68,1651841249
302,Mayo,US,38.8876,-76.5119,15.07,91,100,4.63,1651841249
303,Nabīnagar,BD,23.8917,90.9733,28.07,61,34,0.82,1651841250
304,Dudinka,RU,69.4058,86.1778,-4.1,95,94,3.28,1651841250
305,Kalach-na-Donu,RU,48.691,43.5264,12.65,30,99,7.63,1651841250
306,Cabedelo,BR,-6.9811,-34.8339,26.37,76,81,6.81,1651841251
307,Kungurtug,RU,50.5994,97.5228,9.94,56,100,0.99,1651841251
308,Tamboril,DO,19.4854,-70.611,23.72,88,75,2.57,1651841251
309,Klaksvík,FO,62.2266,-6.589,8.51,67,14,11.69,1651841252
310,Sola,VU,-13.8833,167.55,27.37,83,75,4.12,1651841252
311,Georgiyevka,KZ,43.0369,74.7114,23.02,56,40,5.0,1651841252
312,Ilhabela,BR,-23.7781,-45.3581,22.17,75,44,3.0,1651841252
313,Polunochnoye,RU,60.8697,60.4153,2.47,58,100,5.07,1651841253
314,Grand Gaube,MU,-20.0064,57.6608,26.32,69,76,4.47,1651841253
315,Urusha,RU,54.05,122.9,1.59,50,83,1.86,1651841253
316,Constitución,CL,-35.3333,-72.4167,13.15,80,0,2.02,1651841259
317,Laguna,US,38.421,-121.4238,13.92,91,40,2.06,1651841259
318,Nelson Bay,AU,-32.7167,152.15,12.78,79,0,6.26,1651841260
319,Port Macquarie,AU,-31.4333,152.9167,16.05,82,94,1.68,1651841260
320,Mercedes,AR,-34.6515,-59.4307,18.25,76,0,2.48,1651841260
321,Melbu,NO,68.5044,14.8297,6.9,87,75,8.75,1651841261
322,Flin Flon,CA,54.7682,-101.865,7.91,81,75,2.06,1651841261
323,Lithakia,GR,37.7167,20.8333,21.65,64,40,0.0,1651841261
324,Batemans Bay,AU,-35.7167,150.1833,9.26,62,0,3.29,1651840966
325,Inhambane,MZ,-23.865,35.3833,28.99,58,40,3.09,1651841262
326,Meulaboh,ID,4.1363,96.1285,24.59,90,100,2.52,1651841262
327,Lagos,NG,6.5833,3.75,24.18,86,100,1.75,1651841262
328,Varnavino,RU,57.4035,45.0916,12.45,38,100,4.23,1651841263
329,Bud,US,39.447,-86.1758,15.23,98,100,1.94,1651841263
330,Naze,JP,28.3667,129.4833,21.51,88,98,6.68,1651841108
331,Chute-aux-Outardes,CA,49.1168,-68.399,1.99,51,75,5.66,1651841264
332,Matviyivka,UA,47.0747,35.1444,17.26,31,95,5.86,1651841264
333,Ambilobe,MG,-13.2,49.05,30.35,56,4,4.05,1651841264
334,Beipiao,CN,41.7919,120.7792,12.81,15,0,2.61,1651841265
335,São Filipe,CV,14.8961,-24.4956,23.15,77,0,3.45,1651841265
336,Walvis Bay,NA,-22.9575,14.5053,24.53,43,28,4.12,1651841265
337,Portage,US,41.1667,-81.1998,12.71,88,100,4.12,1651841266
338,Barpāli,IN,21.2,83.5833,36.15,18,55,2.29,1651841266
339,Linjiang,CN,41.8069,126.9078,9.12,87,100,0.93,1651841267
340,Lufilufi,WS,-13.8745,-171.5986,24.88,76,22,3.27,1651841268
341,Arrondissement de Reims,FR,49.1667,4.0833,21.64,52,20,2.57,1651841268
342,Manyana,BW,-23.4,21.7167,24.96,21,6,1.29,1651841268
343,Mvuma,ZW,-19.2792,30.5283,23.31,30,3,3.15,1651841269
344,Amuntai,ID,-2.4177,115.2494,26.93,81,100,0.72,1651841095
345,Anadyr,RU,64.75,177.4833,-3.72,92,100,1.0,1651841089
346,Avera,US,33.194,-82.5271,22.73,75,100,5.61,1651841269
347,Mianyang,CN,31.4593,104.7542,25.99,44,58,0.41,1651841270
348,Huarmey,PE,-10.0681,-78.1522,18.92,86,25,2.72,1651841270
349,Maniitsoq,GL,65.4167,-52.9,-2.31,50,0,0.6,1651841271
350,Nagpur,IN,21.15,79.1,41.01,16,40,2.57,1651841104
351,Ghanzi,BW,-21.5667,21.7833,26.15,20,6,1.13,1651841271
352,Banda Aceh,ID,5.5577,95.3222,25.75,86,100,6.19,1651841272
353,Nikolayevskaya,RU,47.6139,41.5023,13.21,36,100,7.75,1651841273
354,Masunga,BW,-20.6246,27.4488,26.18,22,1,1.44,1651841278
355,Luanda,AO,-8.8368,13.2343,28.0,78,20,4.63,1651841279
356,Kamenka,RU,51.3223,42.7678,11.62,35,6,3.58,1651841279
